type,dateCreated,username,givenName,description,location,id,follows,friends,tweets
ProfilePage,2012-09-25T17:11:55.000Z,SpiderMals,Adidas Tracksuit Mafia,N*E*R*D,Earth 616 Space Sector 2814,845897101,1165,3422,708701
ProfilePage,2020-08-29T04:08:13.000Z,mercadocolorado,Mercado coloradoˢᶜᶦ,Análises de transferências e noticias do Inter 🇦🇹,"Beira Rio, Rio Grande do Sul",1299559412558946305,618,93,4803
ProfilePage,2011-06-09T21:02:01.000Z,taydeezy31,Dontay31 🏁,"Louisville, KY born and raised. louisville basketball- Gator football",,314182924,123,1039,4234
ProfilePage,2022-03-04T13:16:18.000Z,ShoppingAlertIT,Shopping Alert 🇮🇹,"Acquisti online per elettronica, abbigliamento e altro.
@amazon @AmazonIT
as an Amazon Associate I earn from qualifying purchases",🇮🇹,1499735136434520064,144,136,222048
ProfilePage,2022-12-29T22:38:51.000Z,yudsduds666,adidas,"any pronoun.
amo sapos i odeio gays!
                                             vadias não me mandem mensagens, sou apenas da minha girlfriend! 🚫🚫🚫🚫🚫🚫🚫",cama da sua mãe ,1608593348893220866,6,16,150
ProfilePage,2010-12-27T22:13:47.000Z,akadelas,Marginal alado,Problemático e louco. https://t.co/zefuW8k00n,,231204231,4614,2029,81074
ProfilePage,2019-09-08T22:37:12.000Z,gabi_sleite,gabi,nunca mais vai ter mais uma vez,"Várzea Paulista, Brasil",1170828387163738112,89,136,1077
ProfilePage,2021-06-04T00:33:12.000Z,AthleticW,Athletic Shoes Women,Women's Sneakers. Selected Items. Product Information. Daily Updated (eBay Links),,1400611513157570567,44,18,43321
ProfilePage,2021-03-21T23:20:14.000Z,meguchuni913,megu720 (・8・)♡︎♪ ぴよぴよん,"txt ヨンジュン大好き大人オンマMOAです♡ たまにヘッダーやネップリ、ソンムル企画やらせてもらってます♡ ヨンジュンのダンス&セクシーと可愛いのギャップにノックアウトです♡♡♡ 無言フォローも良いですが、ひと声掛けて頂けると喜んでお迎えに行けます(๑•ω•๑)/""♡ 仲良くして下さい♡♡♡♡♡",,1373775878862217218,249,424,51773
ProfilePage,2022-08-29T05:16:48.000Z,englishboyreact,Aidan,,,1564119835717636097,13,47,144
ProfilePage,2011-06-09T21:02:01.000Z,taydeezy31,Dontay31 🏁,"Louisville, KY born and raised. louisville basketball- Gator football",,314182924,123,1039,4234
ProfilePage,2017-01-23T16:30:42.000Z,dannpps,dan 🥦,forbidden fruits,salvador ,823568652314308608,56,478,1412
ProfilePage,2019-07-22T01:13:40.000Z,Matg555,Manuel,Valencia. Me iría demasiado. Ing. Electrónica/ me gusta el fútbol y el indie rock/,"Buenos Aires, Argentina",1153110829916704769,14,53,3666
ProfilePage,2011-02-04T23:09:15.000Z,Owiekris,Khamai Okwute,A menace.,somewhere across the Atlantic,247504950,1124,1070,35455
ProfilePage,2017-07-07T16:43:48.000Z,ElshamyLaila,Miss bee,Time is my biggest fear,,883365946588528640,1446,1820,62238
ProfilePage,2012-02-03T00:43:17.000Z,gumman99,Älskar 70-talet,På 70-talet var allt bättre i synnerhet invandringen.🐊🐉🇸🇪,,481635360,616,1493,30896
ProfilePage,2022-06-24T01:20:42.000Z,_Footy_Banter,Footy Banter,"All things Footy | Prem, UCL, MLS and more | @FB_The_Devils | @ThePigeonsNYCFC | Listen to our Podcast here: https://t.co/gsI57X8Gaa…",,1540142786145550337,525,2620,1207
ProfilePage,2013-07-18T14:04:29.000Z,kaeruyassan,日本雑学団（ゲロッリン）,　　　　　　雑学、ランキング大好き31歳古本屋店長です。　　　　　　　　　日々面白い記事をみつけてツイートしていきます。　　　　　　　楽しんでいただけると嬉しいです♪　　　　,,1603521350,1136,1297,128638
ProfilePage,2015-04-06T04:20:34.000Z,CharlsChef,Charls Monjaraz,,"Tlalpan, Distrito Federal",3141066132,45,346,431
ProfilePage,2016-02-09T05:11:21.000Z,TachoMexTc,TachoMex,"Personalizamos calzado deportivo y casual, fabricamos tapones de aleación y somos zapateros de occasion #EntintandoMagia #TachoMex",,4890872080,827,361,3250
ProfilePage,2010-10-27T23:05:16.000Z,orafamallmann,Rafaránguiz,queria ser jogador de futebol e acabei me tornando jornalista • internacional de porto alegre,P6,208781761,2795,739,65924
ProfilePage,2022-10-25T17:57:11.000Z,_dimejy,Dimeji of Buj’,Forex (ICT Student)📈📊 ~ YouTuber (Gamer)🎮 ~ Football MUFC ~ DM for Promo,"Abuja, Nigeria",1584967244764807168,11327,216,5546
ProfilePage,2022-07-05T12:58:59.000Z,JesusRole9,⁹ 🤙🏾,𝐀𝐫𝐬𝐞𝐧𝐚𝐥. 𝐁𝐒𝟕 𝐱 𝐆𝐉𝟵. 𝐀𝐫𝐬𝐞𝐧𝐚𝐥 𝐅𝐨𝐨𝐭𝐛𝐚𝐥𝐥 𝐂𝐥𝐮𝐛 𝟒𝐊 𝐏𝐢𝐜𝐬 📸,,1544304800355024896,3109,2064,728
ProfilePage,2011-05-31T09:44:29.000Z,GunawanSapto,Gunawan Sapto Adi,,"Indonesia,Surabaya",308384783,75,385,16290
ProfilePage,2022-08-08T05:30:01.000Z,tweet_fighter5,ぽん@商品紹介,人気商品や個人的おすすめ商品を紹介してます／相互フォロー／Amazonアソシエイト参加／アフィリエイト仲間募集中／DM見ませんので送ってこないで下さい／いいね、リツイート喜びます,,1556512982506491904,209,403,10816
ProfilePage,2020-08-28T11:09:07.000Z,OOpiniones,offersworld,,,1299302958421737475,256,192,400438
ProfilePage,2020-08-28T11:09:07.000Z,OOpiniones,offersworld,,,1299302958421737475,256,192,400438
ProfilePage,2020-08-28T11:09:07.000Z,OOpiniones,offersworld,,,1299302958421737475,256,192,400438
ProfilePage,2022-02-24T07:01:59.000Z,Boki6666666,Hero,,,1496742087500476417,1,4,6
ProfilePage,2018-01-15T20:06:54.000Z,deixeideserco,michael adidas,policial disfarçado,"Porto Alegre, Brasil",952995530287865856,95,174,6176
ProfilePage,2021-12-16T00:10:07.000Z,mkaasoarriu,かおり🥳,,,1471271282318934016,445,533,13897
ProfilePage,2016-12-02T00:47:31.000Z,LeoRondon00,Leonardo Rondon,Não sei de nada.,Cuiabá - MT,804487121780273152,28,97,1254
ProfilePage,2018-08-01T14:43:33.000Z,Daro38809821,Lubín,un poeta sin versos,,1024666952751570944,58,414,828
ProfilePage,2018-08-01T14:43:33.000Z,Daro38809821,Lubín,un poeta sin versos,,1024666952751570944,58,414,828
ProfilePage,2018-08-01T14:43:33.000Z,Daro38809821,Lubín,un poeta sin versos,,1024666952751570944,58,414,828
