Username,Name,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount,Views
@lothebear,sweetness,Mar 7,this is my favorite filter just cause of the big bulky ass goggles ,39,491,"8,455",288.6K
@kushgoku,sand ☭,9h,i want to suck a fart out of her ass ,7,3,21,"2,003"
@aaguccii,scorpio,5h,I’m really not the same person everyday you get what you get with my moody ass ,,,,
@ass_it_was,fruity monster ✡︎fan account✡︎,1h,Funny you say that ,,5,37,751
@vanr00yen,MOTHO WA BATHO,"Nov 14, 2022","After God, fear women Things are really getting out of hand There's a video in the comments NSFW ",790,451,"5,375",
@ASSEofficiel,AS Saint-Étienne,17m,Focus sur #ASSEASC ! ,,3,59,"1,677"
@skiiAgain,ski★,Feb 24,"“ Ass is goated""

Thread 1. ",380,"3,034",28.6K,2.3M
@_BlossomSkies_,Abbie ☽☾ (CO-CEO OF DEXTER FANS),5h,#spookymonthignacio I made this goofy ass meme ,2,8,70,697
@JollofRide,JollofRide,1h,Ass should be amongst the wonders of the world ,1,4,10,525
@kanejpov,kanej breakdown,7h,fine ass men i love u crows ,,46,230,"3,347"
@bossyb2023,Bossy,1h,Bitch I’m back and my ass got bigger ,1,1,16,495
