type,dateCreated,username,givenName,description,location,id,follows,friends,tweets
ProfilePage,2021-12-17T03:12:47.000Z,lothebear,sweetness 🧁,aggressive ebony | ♑︎ ♏︎ ♏︎,19 | nsfw | any pronouns,1471679582604611589,12926,1058,4941
ProfilePage,2021-12-17T03:12:47.000Z,lothebear,sweetness 🧁,aggressive ebony | ♑︎ ♏︎ ♏︎,19 | nsfw | any pronouns,1471679582604611589,12926,1058,4941
ProfilePage,2016-10-17T19:42:29.000Z,aaguccii,scorpio🦂,,United States,788102904678842371,11831,2511,11139
ProfilePage,2020-11-24T06:13:29.000Z,ass_it_was,fruity monster ✡︎fan account✡︎,music for whatever you want  |fan account.,"Poc, she/her ✡︎ ✡︎",1331118662007263233,2004,3104,39572
ProfilePage,2020-06-11T12:13:50.000Z,vanr00yen,MOTHO WA BATHO 🇿🇦,"_𝐕𝐑_™▪️𝐋𝐞𝐨♌ ▪️𝐏𝐫𝐚𝐲🙏🏿▪️𝐇𝐮𝐬𝐭𝐥𝐞✊🏿

________🅰🅳🅳🅸🅲🆃🅴🅳 🆃🅾 🅱🅻🆅🅲🅺_________
𝓗𝓪𝓵𝓪 𝓪𝓽 𝓶𝓮 𝓲𝓯 𝔂𝓸𝓾 𝓷𝓮𝓮𝓭 𝓪 𝓻𝓮𝓽𝔀𝓮𝓮𝓽 🔃",🇿🇦,1271052910093271040,32043,26869,52830
ProfilePage,2020-06-11T12:13:50.000Z,vanr00yen,MOTHO WA BATHO 🇿🇦,"_𝐕𝐑_™▪️𝐋𝐞𝐨♌ ▪️𝐏𝐫𝐚𝐲🙏🏿▪️𝐇𝐮𝐬𝐭𝐥𝐞✊🏿

________🅰🅳🅳🅸🅲🆃🅴🅳 🆃🅾 🅱🅻🆅🅲🅺_________
𝓗𝓪𝓵𝓪 𝓪𝓽 𝓶𝓮 𝓲𝓯 𝔂𝓸𝓾 𝓷𝓮𝓮𝓭 𝓪 𝓻𝓮𝓽𝔀𝓮𝓮𝓽 🔃",🇿🇦,1271052910093271040,32043,26869,52830
ProfilePage,2021-05-01T22:06:57.000Z,skiiAgain,ski★,∆vi≠me| Anime Artist |🦅 | GGMU | promotions | music promotions | Dm strictly for ads and promos(straight to the point)📥,Dm for ads and promos ,1388615821325389829,74047,1717,98312
ProfilePage,2019-03-07T00:38:11.000Z,_BlossomSkies_,🌸Abbie 🌸☽☾ (CO-CEO OF DEXTER FANS),Currently hyperfixating on Spooky Month || I’m autistic || Dexter's #1 fan || skid irl /srs || 🏳️‍⚧️ || 15+ yrs old || icon by @/StickFullofTar,getting closer,1103454761813184517,465,397,5216
ProfilePage,2020-07-08T11:26:15.000Z,JollofRide,JollofRide,"Viking, Gallagher",There,1280825446708510723,2178,2792,3622
ProfilePage,2021-05-25T09:19:43.000Z,kanejpov,kanej breakdown,i want you to stay. i want you to…i want you.,she/her | 22,1397120144128847874,5706,173,24162
ProfilePage,2014-05-21T18:05:42.000Z,bossyb2023,Bossy 💞,brand ambassador| Model| owner of sassybutclassy clothing | owner of Angel's Bar and grill 😘,"Texas, USA",2513264264,3503,4932,1031
