Username,Name,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount,Views
@Pickandrollweb,Pick&Roll,37s,Empty Tweet,0,0,0,0
@lili_myr,P_Myr,53s,Empty Tweet,0,0,0,0
@smiura3000,🆂🆃🆂🅷🅸 🅼🅸🆄🆁 ⊂('ω'⊂,1m,Empty Tweet,0,0,0,0
@excusemyfacade,©,1m,Empty Tweet,0,0,1,0
@smiura3000,🆂🆃🆂🅷🅸 🅼🅸🆄🆁 ⊂('ω'⊂,2m,Empty Tweet,0,0,0,0
@azuaramunguia,Rigoberto Azuara Munguía,3m,Empty Tweet,0,0,1,0
@RemediSemO,irremediável,3m,Empty Tweet,0,0,0,0
@Juancarlosteja4,Juan Carlos TYO,3m,Empty Tweet,0,0,0,0
@chollersoficial,Chollers,4m,Empty Tweet,0,0,0,0
@Ganondo20282993,CrocI30N,4m,Empty Tweet,0,0,0,0
@JesusMirandaZ,Jesus Miranda | jesusmiranda.eth,4m,Empty Tweet,0,0,0,0
@aranxamontalvan,Frida,8m,Empty Tweet,0,0,0,0
@fujikinnjirou,60代元薬屋がパソコン一台で月8.8万円稼ぐ秘密の方法!!,10m,Empty Tweet,0,0,0,0
