Username,Name,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount,Views
@HowToNoodle,noodle,Mar 7,I dont want to play Valorant anymore.. ,174,"2,401",21.4K,848K
@NoodleArms16,NoodleArms,Mar 7,Bandana waddle dee thread because I don't have an obsession ,15,168,615,10.6K
@aKindNoodle,麺 n00dle,Mar 5,pov: ur at the beach w the boa ,60,"1,446",18.3K,561.3K
@RealSpicyNoodle,Amber is buffering…,11h,"#TheBadBatch spoiler/ art -
-
-
-
-
You will continue to shine like gold in my memories, Mayday ",10,44,211,"2,942"
@CaptainNoodle45,CaptainNoodle,2m,Now you all know ,,,,1
@starsonxh,별,12h,jungsu blowing his noodle cutely ,,61,146,"3,724"
@NoodleArms16,NoodleArms,1h,Happy waddle dee Wednesday! (Yeehaw ) Bandana dee is here for this Wednesday. I hope everyone is having a good day! #waddledee  #waddlewednesday  #waddledeewednesday  #KirbysReturntoDreamLandDeluxe ,1,5,10,177
@noodleistaken,noodle ツ,10h,Skull Merchant mains getting a 4k after holding a 3 gen for 40 minutes ,2,7,38,"1,451"
@jimpulfer,Jim Pulfer,4h,"The #Cons under #Harper tried to break #Canada , and haven't succeeded... So now, they're ramping up another onslaught against our democratic norms and traditions using a lame, wet noodle called #PeePee . Ain't gonna work. ",,13,32,249
@ariotophobia,lucy!! ☆,3h,me too noodle  #gorillaz ,,,8,61
