Username,Name,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount,Views
@censoredfindom,Paypig,17 Feb,I want to  buy  iPhone for a beautiful girl ,,,,
@Ziyechman,𝐕𝐀𝐑,26 Nov 2022,I want to sell my iPhone and buy Christmas stuffs for my girlfriend. ,,,,
@TheRealJolly256,The Real Jollix,29 Dec 2022,I want to  buy an iPhone . Naye oba tebanzibe. How do you check for an original one? ,,,,
@allindiamemes,All India Memes,8 Sep 2022,"At this point, I want to  buy an iPhone and MacBook to enter Starbucks. ",,,,
@JamesCageWhite,jameswhite,25 Nov 2022,I want to  buy a iPhone 14 pro max. Is it ok ? Happy thanksgiving ,48,4,197,
@slay_jimmy,Slay Jimmy,11 Jan,It’s time I buy a new phone. I use an iPhone 11 Pro Max? I want to give it out. ,,,,
@Haneefah____,ʙᴀʙʏ ᴇᴍᴘʀᴇꜱꜱ ❈,6 Oct 2022,"No be say I no won use iphone oo ,I just dey wait for iphone 20 na that one me I want to  buy . this iPhones are for children ",,,,
@Chopmonie_1,KNUST_BA,20 Dec 2022,I want to sell my iPhone and buy Wig and necklace for my girlfriend Any advice ? ,,,,
@Opresii,Don,8 Sep 2022,How much be the iPhone 14? I save some 300 cedis I want to  buy one. ,,,,
@michael_mickyt,Michael,4 Dec 2022,"Twitter for Elon musk come and donate money for me , I want to  buy  iPhone 14 next week ",,,,
@c__msa,001 Teen.,7 Nov 2022,I want to  buy my blind girlfriend an iphone . ,,,,
@deleszn_,Big Dele,3 Nov 2022,"When the person I want to  buy an iPhone from on http:// starts calling me boss while I'm negotiating the price. Boss, sell it for me that way. ",10,21,26,
@karlaaa_kpb,Karlalily | Artist,5 Feb,"Thanks for the 38 votes. I bought this last Friday. I want to  buy  iPhone 13 but currently out of stock to all branches. Just purchased iPhone 11 instead. I'm really happy to fulfill my needs using my savings. 

I'm ready to travel outside Philippines. Jk! ",2,,24,776
@1boreen_ye,Ye,5 Dec 2022,I want to  buy for my girlfriend an iPhone any advice before i buy ? ,,,,
@noqu2nasede,,22 Sep 2022,I want to  buy the new iphone but my mamaqi ass says no ,,,,
@Mian_walian,Shahzaib Malik,17 Jan,I want to  buy an Iphone Konsi company ka best rahyga?? ,,,,
@uniform_papa_,尸尺乇匚工口凵丂,16 Jul 2022,"I want to do yahoo like dis. I don buy big polo , big trousers , Laptop , iphone and bleaching cream. Abeg na wetin remain? ",,,,
@fatoomtyzarah,Fatima Zarah❈,13 Nov 2022,"Someone said iPhone 7 is now 20k. I want to  buy like 10 filis were can I get it.
Tag any iPhone vendor for me ",,,,
@krugersville,Dr.STAN_KRUGER ,3 Feb,"Why would I want to  buy an iPhone that looks a 13 Pro Max but with two cameras , it makes no sense !! ",3,8,36,4662
@PrinceOswarid,Lov£ P®in©£,21 Sep 2022,Whenever I want to  buy an iPhone I get such blessings. ,,1,7,
@AGuyLikeMuna,Ichie Muna,2 Aug 2022,I want to  buy  iphone 11            Can I pay small small? ,1,2,1,
@SabitiMoise32,MOÏSE,19 Aug 2022,"You know today, I want to  buy a lot of iPhone 13  Pro series for this Girls but I changed my mind, I don't Want it to be iPhone pro Max ",,,,
@grenadine,Conrail Twitty,19 Aug 2022,"My favorite part about marketplace ads is how disparate the items are.

Do I want to  buy an old iPhone ? How about an abandoned house on Warren? These are the same level of decision apparently ",2,1,15,
@elaichinbiryani,v,17 Nov 2022,the only time i want to  buy an iPhone is when ppl talk bout imessage ,,,,
@aabdullahi_,Abdullahi,25 Aug 2022,"I want to  buy  iPhone 6, with good working condition. Let me flex small too ",,,,
@Rameshhh15,Javaid Lucian,3 Nov 2022,I’m serious! Sugar mummy needed!!!!!!!!! I want to  buy an iPhone 14 ,,,,
@ekppmkona,ekppmkona,8 Sep 2022,           ,2,,7,
@starfrujt,al,27 Feb,yoo random thought if i have a job and can make money someday i want to  buy an iphone 5/6s and make it my own ipod/spotify phone.. ,,,,
,,,        ,,,,
,,,       ,,,,
,,,      ,,,,
,,,     ,,,,
,,, ,,,,
,,,        ,,,1,
@ArnoldAtarn,Arnold Atarn,27 Feb,@rouse_256 ,,,1,172
,,,           ,,,,
,,,         ,,,,
,,,                 ,,,,
,,,   ,,,,
,,,              ,,,,
@R0han_Hindu,Rohan,1 Sep 2022,@24palettes and and @Aaayushiiiiiii ,2,,5,
@AkorAlex2,Akor Alex,31 Dec 2022,Crossover prayer points..God please I want to  buy  iPhone 13promax.i want sugar daddy with G wagon... I want to stop hook up by 2023..  @bod_republic  @TheSilvapr  @MobilePunch ,,,,
@Leatile_kowa,TravelBug,18 Feb,I want to  buy  IPhone to my reservation team. Been the best to Iponele Lefatshe ,,,,
@AzizkhanISF,Aziz Khan,29 Oct 2022,"Hey @KendallJenner please give me money, i want to  buy  iphone . I will return back. ",,,,
