type,dateCreated,username,givenName,description,location,id,follows,friends,tweets
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
ProfilePage,2021-02-02T17:34:13.000Z,_highestplus,H I G H E S T➕,,"Madrid, Spain",1356657012348776454,17656,8439,9325
ProfilePage,2021-11-15T05:33:28.000Z,imparkerburton,Parker Burton,That Android Guy on TikTok,,1460118658626293761,3507,112,655
ProfilePage,2021-11-15T05:33:28.000Z,imparkerburton,Parker Burton,That Android Guy on TikTok,,1460118658626293761,3507,112,655
ProfilePage,2021-09-20T21:59:59.000Z,TrillionaireJoe,Prophet of Prosperity 👑,"To register for my Mastermind, click here https://t.co/aUMQ13yXTa

If you want to get my Course preorder, click on the link below 👇🏻","Dubai, United Arab Emirates",1440073179901272070,2745,223,3796
ProfilePage,2021-09-20T21:59:59.000Z,TrillionaireJoe,Prophet of Prosperity 👑,"To register for my Mastermind, click here https://t.co/aUMQ13yXTa

If you want to get my Course preorder, click on the link below 👇🏻","Dubai, United Arab Emirates",1440073179901272070,2745,223,3796
ProfilePage,2022-11-10T11:59:57.000Z,pwinsrawr,Pwins,,Calabarzon,1590675559071170561,2,4,250
ProfilePage,2009-09-19T00:46:21.000Z,thecomputerclan,Computer Clan📌March 9,"If you like tech, you’ve come to the right place! | Follow for more tech fun! | DMs open for episode-related messages. | Thank you for 400K+ subscribers!",NEXT EPISODE: March 9,75431393,16672,85,17999
ProfilePage,2009-09-19T00:46:21.000Z,thecomputerclan,Computer Clan📌March 9,"If you like tech, you’ve come to the right place! | Follow for more tech fun! | DMs open for episode-related messages. | Thank you for 400K+ subscribers!",NEXT EPISODE: March 9,75431393,16672,85,17999
ProfilePage,2009-09-19T00:46:21.000Z,thecomputerclan,Computer Clan📌March 9,"If you like tech, you’ve come to the right place! | Follow for more tech fun! | DMs open for episode-related messages. | Thank you for 400K+ subscribers!",NEXT EPISODE: March 9,75431393,16672,85,17999
ProfilePage,2009-09-19T00:46:21.000Z,thecomputerclan,Computer Clan📌March 9,"If you like tech, you’ve come to the right place! | Follow for more tech fun! | DMs open for episode-related messages. | Thank you for 400K+ subscribers!",NEXT EPISODE: March 9,75431393,16672,85,17999
ProfilePage,2011-08-30T17:51:51.000Z,PengPhones,𒆜 PENG STORE ,SINCE 2011 | NO 1 TRUSTED & BEST ONLINE/OFFLINE PHONE STORE 🕊 Owner : @pengpappi_xo | IG:Pengphones | 🔑 WhatsApp https://t.co/bs1mwBILx4,"Kaduna, Nigeria",364993853,24639,18939,22149
ProfilePage,2021-02-23T06:35:05.000Z,DonMiami3,Don Johnson,An Internet Enigma | Inspiring People Daily | Macro Commentary | Common Sense Advocate *parody,,1364101401530437632,7412,450,30159
ProfilePage,2010-03-04T19:35:08.000Z,CBSSunday,CBS Sunday Morning 🌞,"The award-winning morning news program, hosted by Jane Pauley.","Manhattan, NY",119829799,266412,449,33841
ProfilePage,2010-03-04T19:35:08.000Z,CBSSunday,CBS Sunday Morning 🌞,"The award-winning morning news program, hosted by Jane Pauley.","Manhattan, NY",119829799,266412,449,33841
